rank,name,power,kills,weekly_contribution,construction,tribe_assistance,read_rank,is_valid
1,Razsiel,47912466,5073,90000,,1841,1,True
2,Raffyy,24457551,,85200,0,1726,2,True
3,4unei457551,24399349,,,,,,True
4,kimse81,24399349,,67800,24602,1052,3,True
5,AntyDeath,21687749,91432543,84300,89891,1382,4,True
6,bigcheese,21618790,399235,93000,0,302,5,True
7,Taidana,19163305,,79000,87369,1181,6,True
8,XSTORMX,17048642,18407,78500,2813,1971,7,True
9,xAeolus,14747785,17302,79900,59032,1443,8,True
10,KMGLAY,14610661,,75300,4565,3720,9,True
11,Batangbata,13314814,698716,81500,126181,1001,10,True
12,NanP,13227317,,88700,132015,1375,11,True
13,Tecchi,12352576,182952,78600,40142,1134,12,True
14,Marinel,11613929,11568,85100,3938,1143,13,True
15,xMorphx,11556286,7412,85400,30127,1708,14,True
16,Baronbee,10681951,,75900,58441,3742,15,True
17,Douzeper,10478692,108468,68900,13330,900,16,True
18,VonGodeuro,10266958,209374,79000,,920,17,True
19,TeddyT,10233491,379808,70100,49572,684,18,True
20,DragonKiller,9903684,176447,83200,4523,1066,19,True
21,AutisticDragon,9831344,328782,82700,0,1057,20,True
22,Riggles,9661120,,19100,,133,21,True
23,CHADZ,9658338,6760,80100,19896,1384,22,True
24,在下梅遊鉛,9533610,20951,73400,,889,23,True
25,redripe,9346960,,51400,0,577,24,True
26,BestGodOOZx,9342854,38601,79700,11410,1129,25,True
27,xesseku,9128974,10249,79700,155520,877,26,True
28,bloodyxmary,9082429,55973,82100,20763,637,27,True
29,Novac,9023197,3521,105600,11158,2237,28,True
30,Ornthrond,9012184,31861,85600,,1491,29,True
31,mamon,8781524,36627,73900,,667,30,True
32,AuditorMuda,8566605,,81800,158196,1802,31,True
33,Zph,8497558,553767,12300,4501,422,32,True
34,SeRaFeTTiN,8427320,168406,71400,3306,505,33,True
35,すももん,8332178,,86000,,1489,34,True
36,Kalbaram,8233613,,84900,16866,2304,35,True
37,Shreff,8078761,,75000,,873,36,True
38,no3Ldev,8042991,1238920,79300,22039,1144,37,True
39,Khaleesi13,7852902,,75600,41192,1192,38,True
40,Helikaeon,7783026,,63300,48566,679,39,True
41,AlfaStraik,7406296,8606,76400,0,803,40,True
42,beast,7206105,,5900,,,41,True
43,Zoraool,7119959,,86900,139199,1045,42,True
44,ゆ一一,6993415,7182,38900,,510,43,True
45,ThoroMG,6909379,,57600,2627,963,44,True
46,TheGuardainz,6847836,,59900,25534,445,45,True
47,HoTDog,6772856,24866,56200,79429,734,46,True
48,Abanob,6720256,18743,7700,,122,47,True
49,Dentonl04,6623883,,83300,25479,797,48,True
50,chamame,6472945,2997,35400,,633,49,True
51,drikol,6469138,3346,68600,48030,471,50,True
52,ZINK,6387567,2492,75500,,1094,51,True
53,FreakyJD,6386431,,87400,15974,1335,52,True
54,lizardcub,6351030,,41000,34278,271,53,True
55,Windows8,6267067,,50800,,835,54,True
56,BigZik,6264838,662,71700,18286,805,55,True
57,PWQJEJFL,6232256,7440,88300,5386,841,56,True
58,klA,6187849,,15700,,481,57,True
59,RisingCrown,6060114,30744,58300,37820,491,58,True
60,Layy,5903378,,47300,,348,59,True
61,Kudgar,5892475,,3700,,,60,True
62,Phantompain,5824590,5547,63600,,129,61,True
63,Cy4nnn,5817425,,90900,,551,62,True
64,Azorero,5767573,34660,64400,5588,402,63,True
65,RamoxD,5683980,,70000,,,64,True
66,yakut,5542645,1236,21000,5299,240,65,True
67,hefesto,5532164,,,,,66,True
68,칭키스칸,5494198,,70600,,242,67,True
69,HEMANN,5478561,1868,78600,,450,68,True
70,gabbu,5325731,18697,83000,1711,1119,69,True
71,ROTT,5302959,10247,,500,,70,True
72,weshcoll,5235911,,30400,,333,71,True
73,Lemarck,4810830,,35500,,377,72,True
74,MCGTHEGEMINI,4796801,,39600,,133,73,True
75,ErdiAksoy37,4746830,,59100,,155,74,True
76,Tarub,4448382,,23600,,203,75,True
77,YaVuZ,4283237,146000,8700,3312,,76,True
78,krales,4103340,67870,200,,,77,True
79,Rebelyus,4102576,4091,31700,,228,78,True
80,ERINX,4032062,,52500,18003,264,79,True
81,Moliaro,3698153,,6500,,,80,True
82,Memobrw,3425128,25582,,,,81,True
83,Rocco23,2408401,,8900,,,82,True
84,Ltшатuн,105,,,,,,True
