rank,name,power,kills,weekly_contribution,construction,tribe_assistance,read_rank,is_valid
1,Razsiel,48079816,5073,90000,,1871,1,True
2,Raffyy,24458751,,85200,0,1761,2,True
3,чэчъ1458751,24370699,,,,,,True
4,kimse81,24370699,,67800,24602,1052,3,True
5,AntyDeath,21725594,1432543,86900,89891,1405,4,True
6,bigcheese,21652310,399235,93000,0,334,5,True
7,Taidana,19197805,,80200,87369,1209,6,True
8,XSTORMX,17048642,18407,78500,2813,1994,7,True
9,xAeolus,14758685,17302,81800,59032,1483,8,True
10,KMGLAY,14622523,,77600,4565,1742,9,True
11,Batangbata,13499525,698716,81500,126181,1018,10,True
12,NanP,13227317,,88700,132015,1375,11,True
13,Tecchi,12352576,182952,80400,40142,1154,12,True
14,Marinel,11613929,11568,85100,3938,1143,13,True
15,xMorphx,11566419,7412,85400,30127,1746,14,True
16,Douzeper,10764531,108468,69400,13330,947,15,True
17,Baronbee,10681951,,75900,58441,3742,16,True
18,VonGodeuro,10266958,209374,79000,,920,17,True
19,TeddyT,10236044,379808,70100,49572,693,18,True
20,DragonKiller,9918084,176447,83200,4523,1066,19,True
21,AutisticDragon,9831344,328782,82700,0,1067,20,True
22,CHADZ,9679798,6760,84900,19896,1413,21,True
23,Riggles,9661120,,19100,,133,22,True
24,在下梅遊鉛,9539010,20951,73400,,889,23,True
25,BestGodOOZx,9351416,38601,80300,11410,1132,24,True
26,redripe,9346960,,51400,0,577,25,True
27,xesseku,9128974,10249,79700,155520,877,26,True
28,bloodyxmary,9082429,55973,82100,20763,637,27,True
29,Novac,9023197,3521,105600,11158,2237,28,True
30,Ornthrond,9012184,31861,85600,,1491,29,True
31,mamon,8781524,36627,73900,,667,30,True
32,Zph,8632462,553767,13300,10037,467,31,True
33,すももん,8592358,,86000,,1524,32,True
34,AuditorMuda,8569877,,82900,158196,3828,33,True
35,SeRaFeTTiN,8427320,168406,71400,3306,505,34,True
36,Kalbaram,8303203,,84900,16866,2332,35,True
37,Shreff,8078761,,75000,,873,36,True
38,no3Ldev,8042991,1238920,79300,22039,1144,37,True
39,Khaleesi13,8024502,,76200,41192,1230,38,True
40,Helikaeon,7783026,,63300,48566,679,39,True
41,AlfaStraik,7406296,8606,76400,0,803,40,True
42,beast,7282930,,6900,,,41,True
43,Zoraool,7195039,,89300,139199,1064,42,True
44,ゆ一一,7001720,7182,38900,,510,43,True
45,ThoroMG,6909379,,57600,2627,963,44,True
46,chamame,6899472,2997,44000,,669,45,True
47,TheGuardainz,6847836,,59900,25534,445,46,True
48,HoTDog,6772856,24866,56200,79429,734,47,True
49,Abanob,6720256,18743,7700,,122,48,True
50,Dentonl04,6623883,,83300,25479,797,49,True
51,drikol,6599328,3346,77100,48030,510,50,True
52,FreakyJD,6406931,,87400,15974,1335,51,True
53,ZINK,6387567,2492,75500,,1094,52,True
54,klA,6371254,,15700,,518,53,True
55,lizardcub,6351030,,41000,34278,271,54,True
56,Windows8,6267535,,50800,,846,55,True
57,BigZik,6264838,662,71700,18286,805,56,True
58,PWQJEJFL,6232256,7440,88300,5386,841,57,True
59,RisingCrown,6098589,30744,58300,37820,491,58,True
60,Layy,5903378,,47300,,348,59,True
61,Kudgar,5892475,,3700,,,60,True
62,Phantompain,5824590,5547,63600,,129,61,True
63,Cy4nnn,5817425,,90900,,551,62,True
64,Azorero,5767573,34660,64400,5588,402,63,True
65,RamoxD,5683980,,70000,,,64,True
66,yakut,5542645,1236,21000,5299,240,65,True
67,hefesto,5532164,,,,,66,True
68,칭키스칸,5494198,,70600,,242,67,True
69,HEMANN,5478561,1868,78600,,450,68,True
70,gabbu,5325731,18697,83000,1711,1119,69,True
71,weshcoll,5313941,,30400,,333,70,True
72,ROTT,5303679,10247,,,125,71,True
73,Lemarck,4893207,,35900,,422,72,True
74,MCGTHEGEMINI,4796801,,39600,,133,73,True
75,ErdiAksoy37,4746830,,59100,,155,74,True
76,Tarub,4448382,,23600,,223,75,True
77,Rebelyus,4360941,4091,33400,,239,76,True
78,YaVuZ,4283237,146000,8700,3312,,77,True
79,krales,4103340,67870,200,,,78,True
80,ERINX,4032062,,52500,18003,264,79,True
81,Moliaro,3698153,,6500,,,80,True
82,Memobrw,3425128,25582,,,,81,True
83,Rocco23,2408401,,8900,,,82,True
84,Ltшатuн,32,,,,,,True
